word1,word2
경도,위도
경도선,씨금
경도선,위
경도선,위도선
경도선,패럴렐
경등산화,중등산화
경랑,세련
경랑,소파
경랑,연의
경랑,연파
경랑,윤의
경량품,중량품
경무기,중무기
경무세,외방무세
경범,중대범죄
경범죄,중범죄
경사,씨줄
경상,중상
경상,중창
경성,무름성
경성분,연성분
경세,중세
경수,연수
경시,중대시
경시,중시
경입자,바리온
경입자,중입자
경자성,연자성
경적,약적
경죄,대형
경죄,중벽
경죄,중죄
경증,중증
경질대,무른대
경질대,연질대
경질미,무른쌀
경징계,중징계
경차량,중차량
경책,중책
경토,속흙
경토,심토
경할,위할
경합성,비경합성
경험자,무경험자
경형,중형
경화,연화
경화,교환불능통화
경화되다,연화되다
경화하다,연화하다
경환,중병
경환,중아
경환자,중환자
곁반,원반
곁뿌리,원뿌리
계남,계녀
계비,정비
계자,맏아들
계자,장자
계자,큰아들
계자,큰자식
계집아이,아들아이
계집애,아들애
계집종,남노
계집질하다,서방질하다
계집질하다,화냥질하다
계추,맹추
계추,소추
계추,초가을
계춘,개춘
계춘,춘수
계춘,춘초
계하,초하
계하,계상
고,선자
고,즐거움
고가,저가
고가,저가격
고가격,저가격
고가주,저가주
고가주,저위주
고가형,저가형
고각,내려간각
고각,내려본각
고각,부각
고각,침하각
고강도,저강도
고공,저공
고과즙,저과즙
고관대작,미관말직
고관대작,미말지직
고극,저극
고금동연,고금부동
고금리,경변
고금리,저리
고금리,헐변
고급성,저급성
고급재,저급재
고급지,저급지
고급품,저급품
고기압,저압
고기압권,저기압권
고기압대,저기압대
고기압대,저기압부
고기압부,저기압대
고기압부,저기압부
고낙차,저낙차
고단백,저단백
고도각,내려본각
고레벨,저레벨
고렴이,저렴이
고례,신례
고록,미록
고른음,시끄러운음
고리,경변
고리,저리
고리,저변
고리,헐변
고리부채,저리채
고면,첫낯
고면,초면
고모할머니,고모할아버지
고물,선두
고물,선수
고물,이물
고물간,이물간
고밀도,저밀도
고밀화,저밀화
고발현,저발현
고범,과실범
고범,무의범
고변,저금리
고변,저리
고변,헐변
고복지,저복지
고부가,저부가
고비용,저비용
고빈도,저빈도
고사망률,저사망률
고소득층,저소득계층
고소득층,저소득층
고소비,저소비
고속,저속도
고속도,완속
고속도,저속
고수로,저수로
고수분,저수분
고숙련,저숙련
고순도,저순도
고시,근체
고시,근체시
고시,금체
고시,금체시
고시조,현대시조
고압,저압
고압,저전압
고압,저기압
고압계,저압계
고압선,저압선
고양,고음
고언,단소리
고언,미언
고열,저열
고영양식,저영양식
고온욕,미온욕
고위험도,저위험도
고유가,저유가
고유량,저유량
고유문화,외래문화
고유성,우성
고유성,우유성
고유성,우유적속성
고은하다,보은하다
고음,고양
고음부,바음기호
고음부,바음자리표
고음부,베이스클레프
고음부,베이스표
고음부,저음부
고음부,저음부기호
고의,과류
고의,과실
고의,과오
고의,실착
고의,유오
고의범,무의범
고이방,고일방
고이율,저이율
고임금국,저임금국
고입,출고
고자세,저자세
고저각,부각
고전,낙전
고전악,대중음악
고전압,저전압
고점,저점
고정,유동
고정,발달
고정비,가변비
고정비,가변비용
고정비,변동비
고정비,변동비용
고조,간물때
고조,저조
고조고,고조비
고조기,퇴조기
고조되다,저조되다
고조모,고조
고조부,고조할머니
고조선,간조선
고조선,저조선
고조시,저조시
고조파,저조파
고조할아버지,고조할머니
고종,비명횡사
고종매,이종매
고종명,비명횡사
고주,신주인
고주파,저주파
고주파대,저주파대
고준,기공
고준,착공
고지,저지
고지가,저지가
고지대,저지대
고진감래,흥진비래
고질,박록
고집적,저집적
고착,발달
고참병,초년병
고체,근체
고체,근체시
고체,금체
고체,금체시
고체시,근체
고체시,금체
고체시,금체시
고추잠자리,메밀잠자리
고춘,개춘
고출,고입
고출생,저출생
고탄도,저탄도
고평점,저평점
고품,신품
고품격,저품격
고학력자,저학력자
고한,대서
고한,된더위
고한,염열
