바탕,기초,,,,,,,,
바탕,기본,,,,,,,,
반대쪽,반대편,,,,,,,,
발견,발명,,,,,,,,
발행,발간,,,,,,,,
방비,수비,,,,,,,,
방향,방면,,,,,,,,
바향,쪽,,,,,,,,
번민,고민,,,,,,,,
번창,번성,,,,,,,,
번창,번영,,,,,,,,
벗,동무,,,,,,,,
벗,친구,,,,,,,,
별안간,갑자기,,,,,,,,
병사,군사,,,,,,,,
병정,군인,,,,,,,,
병정,병졸,,,,,,,,
보복,앙갚음,,,,,,,,
보복,복수,,,,,,,,
복잡,번잡,,,,,,,,
복판,한가운데,,,,,,,,
볼모,인질,,,,,,,,
부모,양친,,,,,,,,
부탁,당부,,,,,,,,
부탁,청탁,,,,,,,,
분간,구별,,,,,,,,
분간,분별,,,,,,,,
불만,불평,,,,,,,,
비겁,비열,,,,,,,,
비극,참극,,,,,,,,
비참,처참,,,,,,,,
비참,참혹,,,,,,,,
뽐내다,뻐기다,,,,,,,,
사랑,애정,,,,,,,,
사무,직무,,,,,,,,
사용,이용,,,,,,,,
산모롱이,산모통이,,,,,,,,
산천,강산,,,,,,,,
산천,산하,,,,,,,,
상점,가게,,,,,,,,
상점,점포,,,,,,,,
생명,목숨,,,,,,,,
서럽다,슬프다,,,,,,,,
서운하다,섭섭하다,,,,,,,,
선박,배,,,,,,,,
선전,광고,,,,,,,,
설령,설사,,,,,,,,
성격,성품,,,,,,,,
성격,성질,,,,,,,,
성능,기능,,,,,,,,
성질,성미,,,,,,,,
성질,성격,,,,,,,,
세면,세수,,,,,,,,
소망,소원,,,,,,,,
소박,순박,,,,,,,,
소용,필요,,,,,,,,
소제,청소,,,,,,,,
속박,구속,,,,,,,,
수고,고생,,,,,,,,
수고,노고,,,,,,,,
수심,근심,,,,,,,,
수축,개축,,,,,,,,
순서,차례,,,,,,,,
스승,선생,,,,,,,,
슬픔,설움,,,,,,,,
승낙,허락,,,,,,,,
승낙,승인,,,,,,,,
승패,승부,,,,,,,,
시설,설비,,,,,,,,
시체,송장,,,,,,,,
시체,주검,,,,,,,,
식량,양식,,,,,,,,
신세,처지,,,,,,,,
신통,신기,,,,,,,,
실정,형편,,,,,,,,
실천,실행,,,,,,,,
사리,이치,,,,,,,,
사방,사면,,,,,,,,
사정,실정,,,,,,,,
사정,형편,,,,,,,,
산허리,산중턱,,,,,,,,
상관,관계,,,,,,,,
상쾌,경쾌,,,,,,,,
상쾌,유쾌,,,,,,,,
생전,생시,,,,,,,,
서문,머리말,,,,,,,,
선교,포교,,,,,,,,
선생,스승,,,,,,,,
선조,조상,,,,,,,,
설명,해설,,,,,,,,
성공,성취,,,,,,,,
성내다,화내다,,,,,,,,
성명,이름,,,,,,,,
성명,성함,,,,,,,,
세계,세상,,,,,,,,
소견,의견,,,,,,,,
소모,소비,,,,,,,,
소상,상세,,,,,,,,
소원,소망,,,,,,,,
속,안,,,,,,,,
손해,손실,,,,,,,,
수단,솜씨,,,,,,,,
